t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
1760.0,8,23,0,33,188077,496000,1.0,0.3791875
1770.0,8,21,0,35,154866,496000,1.0,0.3122298387096774
1780.0,8,28,0,34,205305,496000,1.0,0.41392137096774195
1790.0,8,33,0,34,240986,496000,1.0,0.48585887096774194
1800.0,8,29,0,33,230467,496000,1.0,0.46465120967741935
1810.0,8,33,0,27,254501,496000,1.0,0.5131068548387097
1820.0,8,36,0,27,263022,496000,1.0,0.5302862903225807
1830.0,8,25,0,34,249690,496000,1.0,0.5034072580645161
1840.0,8,23,0,31,256074,496000,1.0,0.5162782258064517
1850.0,8,24,0,23,230092,496000,1.0,0.4638951612903226
1860.0,8,18,0,23,207754,496000,0.75,0.41885887096774194
1870.0,8,13,0,22,193546,496000,0.875,0.39021370967741936
1880.0,8,24,0,13,220299,496000,1.0,0.44415120967741933
1890.0,8,21,0,15,221862,496000,1.0,0.4473024193548387
1900.0,8,21,0,17,238661,496000,1.0,0.48117137096774193
1910.0,8,19,0,18,203960,496000,1.0,0.4112096774193548
1920.0,8,12,0,21,201278,496000,0.875,0.4058024193548387
1930.0,8,15,0,18,213296,496000,0.875,0.4300322580645161
1940.0,8,16,0,15,198008,496000,1.0,0.3992096774193548
1950.0,8,17,0,15,201945,496000,0.875,0.40714717741935486
1960.0,8,19,0,11,157941,496000,1.0,0.318429435483871
1970.0,8,9,0,18,158450,496000,0.875,0.3194556451612903
1980.0,8,18,0,14,184909,496000,1.0,0.37280040322580643
1990.0,8,28,0,16,216606,496000,1.0,0.43670564516129035
2000.0,8,24,0,18,186787,496000,1.0,0.3765866935483871
2010.0,8,17,0,23,189208,496000,0.875,0.3814677419354839
2020.0,8,19,0,23,209642,496000,1.0,0.42266532258064515
2030.0,8,24,0,25,231794,496000,0.875,0.4673266129032258
2040.0,8,18,0,33,241454,496000,0.875,0.4868024193548387
2050.0,8,23,0,28,263373,496000,1.0,0.5309939516129032
2060.0,8,23,0,32,285874,496000,1.0,0.576358870967742
2070.0,8,27,0,27,302523,496000,1.0,0.6099254032258065
2080.0,8,34,0,24,301991,496000,1.0,0.6088528225806452
2090.0,8,27,0,26,264542,496000,1.0,0.5333508064516129
2100.0,8,28,0,20,247024,496000,1.0,0.4980322580645161
2110.0,8,29,0,13,202363,496000,1.0,0.4079899193548387
2120.0,8,19,0,20,192055,496000,0.875,0.3872076612903226
2130.0,8,13,0,24,196218,496000,0.875,0.3956008064516129
2140.0,8,21,0,9,154175,496000,0.875,0.3108366935483871
2150.0,8,15,0,12,136813,496000,0.625,0.2758326612903226
2160.0,8,12,0,10,112958,496000,0.75,0.22773790322580645
2170.0,8,7,0,7,42982,496000,0.375,0.08665725806451613
2180.0,8,10,0,4,48954,496000,0.75,0.09869758064516129
2190.0,8,25,0,6,76166,496000,1.0,0.15356048387096774
2200.0,8,15,0,22,89034,496000,0.875,0.17950403225806452
2210.0,8,29,0,16,136323,496000,1.0,0.27484475806451614
2220.0,8,26,0,23,154149,496000,1.0,0.31078427419354837
2230.0,8,21,0,26,160284,496000,1.0,0.3231532258064516
2240.0,8,18,0,28,173318,496000,1.0,0.34943145161290323
2250.0,8,24,0,20,172703,496000,1.0,0.34819153225806454
2260.0,8,17,0,20,159752,496000,1.0,0.3220806451612903
2270.0,8,17,0,13,145093,496000,1.0,0.2925262096774194
2280.0,8,20,0,14,164955,496000,1.0,0.33257056451612904
2290.0,8,27,0,14,177899,496000,1.0,0.35866733870967743
2300.0,8,28,0,27,171647,496000,1.0,0.3460625
2310.0,8,23,0,30,164039,496000,1.0,0.33072379032258065
2320.0,8,22,0,28,167124,496000,1.0,0.3369435483870968
2330.0,8,15,0,33,161309,496000,1.0,0.32521975806451614
2340.0,8,16,0,31,174388,496000,0.625,0.35158870967741934
2350.0,8,20,0,28,174343,496000,0.875,0.35149798387096776
2360.0,8,21,0,23,169298,496000,0.875,0.3413266129032258
2370.0,8,20,0,23,183802,496000,0.875,0.3705685483870968
2380.0,8,28,0,17,196732,496000,1.0,0.39663709677419356
2390.0,8,29,0,20,201980,496000,1.0,0.4072177419354839
